SPECMAN_ASCII(ACD)
Version = 1.01
ExportNote = 
DocType = 1D NMR
DataFormat = X_Y
SubType = SPECTRUM
OriginalCount = 16384
Date = 06 Sep 2024 16:57:52
Frequency = 75.499916
Acquisition Time = 0.897843
Solvent = CHLOROFORM-d
Nucleus = 13C
Alpha = 0
Beta = 0
Offset = 8304.462891
SweepWidth = 18247.062500
Temperature = 27.000000
ExpCount = 400
Comment = Dave Mo(CO)6
StampDate = 06 Sep 2024 16:57:52
PulseSequence = zgpg30
FileName = --
Origin = spect
Owner = undergrad
SWCyclical = 18248.175781
Digital = 1
FIDShiftPoints = 53
PointsCount = 16384
FirstX = 230.8346
LastX = -10.8486

230.8346	635390.6250
230.8199	980526.0000
230.8051	971657.0625
230.7904	51841.0156
230.7756	48667.4336
230.7609	-196085.7813
230.7461	-597325.8750
230.7314	-442749.5938
230.7166	-17657.4375
230.7019	395186.4375
230.6871	168200.6563
230.6723	591083.1250
230.6576	1410984.0000
230.6429	860392.1875
230.6281	853906.4375
230.6133	309329.8125
230.5986	-155131.5313
230.5838	44947.5977
230.5691	712248.8125
230.5543	243158.1719
230.5396	362481.0625
230.5248	743250.7500
230.5101	383260.3125
230.4953	299439.5000
230.4806	452391.6563
230.4658	1588794.2500
230.4510	1054619.0000
230.4363	610558.5000
230.4216	560418.2500
230.4068	100403.6797
230.3920	645584.8125
230.3773	1124142.3750
230.3626	514052.1563
230.3478	502654.3750
230.3330	1158046.0000
230.3183	875355.6250
230.3035	415811.2500
230.2888	838454.1875
230.2740	1531987.1250
230.2593	1274212.7500
230.2445	665660.3125
230.2298	277788.2188
230.2150	487134.2813
230.2003	82075.7422
230.1855	-121012.6875
230.1708	64060.8086
230.1560	572185.1250
230.1413	962641.1875
230.1265	1007912.1250
230.1118	411574.3125
230.0970	320230.3438
230.0823	585735.1250
230.0675	566259.1250
230.0527	794880.6250
230.0380	480594.3125
230.0233	618689.6875
230.0085	619822.1875
229.9937	603012.6875
229.9790	225549.2500
229.9642	-78794.9141
229.9495	50046.7188
229.9347	-70326.7109
229.9200	409686.1875
229.9052	301407.2813
229.8905	749696.8750
229.8757	802196.1250
229.8610	177250.7813
229.8462	789892.0000
229.8315	446877.7813
229.8167	708914.2500
229.8020	1273117.3750
229.7872	1143660.0000
229.7725	267469.4375
229.7577	1269399.1250
229.7430	684840.6875
229.7282	959619.2500
229.7135	1591691.0000
229.6987	1240258.1250
229.6840	1245616.1250
229.6692	707780.5000
229.6545	453811.9063
229.6397	946866.7500
229.6250	943879.7500
229.6102	142280.4375
229.5955	661481.9375
229.5807	588490.0000
229.5659	467610.8438
229.5512	159061.8594
229.5365	466724.0938
229.5217	-321799.5938
229.5069	-140655.6719
229.4922	387496.4688
229.4774	3883.5950
229.4627	165962.5625
229.4479	-179214.6563
229.4332	-631690.8125
229.4184	195702.0313
229.4037	-213733.9844
229.3889	-247720.8125
229.3742	69991.6953
229.3594	424120.5625
229.3447	594204.4375
229.3299	71613.7344
229.3152	-499699.5938
229.3004	-282522.5625
229.2856	-251030.2969
229.2709	490231.2813
229.2561	340783.9688
229.2414	498703.2188
229.2266	946292.6875
229.2119	189055.5469
229.1971	-43502.2969
